GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Speed (OBD)(km/h),Trip Distance(km),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Engine RPM(rpm),Throttle Position(Manifold)(%),Unnamed: 18,11749
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:34.896000,7.49048182,44.64950679,0.63,4.288,398,41.4,1.8034668,8.257721,3.673111,-0.05611482,4,0.00176652777008712,1.63074135780334,0.207731008529663,954.5,16.8627452850341,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:34.996000,7.49048182,44.64950679,0.63,4.288,398,41.4,1.863327,7.7669067,2.7441711,-0.08063737,6,0.00246236100792884,1.63074135780334,0.207731008529663,954.5,16.8627452850341,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:35.096000,7.49048182,44.64950679,0.63,4.288,398,41.4,0.43159485,7.321579,7.115982,-0.07397441,6,0.00246236100792884,1.63074135780334,0.207731008529663,954.5,18.0392150878906,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:35.196000,7.49048182,44.64950679,0.63,4.288,398,41.4,1.013382,5.039917,6.708969,-0.11942017,6,0.00246236100792884,2.47369289398193,0.302146077156066,954.5,18.0392150878906,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:35.296000,7.49048182,44.64950679,0.63,4.288,398,41.4,0.60157776,5.451706,6.6155853,-0.07627032,6,0.00246236100792884,2.47369289398193,0.302146077156066,1175.5,18.0392150878906,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:35.395000,7.49048182,44.64950679,0.63,4.288,398,41.4,0.13232422,5.853943,8.825439,-0.05388998,7,0.00314486096613109,2.47369289398193,0.302146077156066,1175.5,18.0392150878906,,
Sun Mar 31 11:02:36 GMT+02:00 2019,2019-03-31 11:02:35.496000,7.49048345,44.64951921,1.29,4.288,399,349.4,-1.2898407,5.1189117,11.061615,0.26840693,7,0.00314486096613109,2.47369289398193,0.302146077156066,1175.5,18.8235301971435,,
Sun Mar 31 11:02:36 GMT+02:00 2019,2019-03-31 11:02:35.596000,7.49048345,44.64951921,1.29,4.288,399,349.4,1.3246307,4.948929,8.576447,0.2535839,7,0.00314486096613109,2.42283415794372,0.302146077156066,1175.5,18.8235301971435,,
Sun Mar 31 11:02:36 GMT+02:00 2019,2019-03-31 11:02:35.695000,7.49048345,44.64951921,1.29,4.288,399,349.4,1.3150482,4.5850067,7.171036,0.16587763,7,0.00314486096613109,2.42283415794372,0.302146077156066,1387.5,18.8235301971435,,
Sun Mar 31 11:02:36 GMT+02:00 2019,2019-03-31 11:02:35.796000,7.49048345,44.64951921,1.29,4.288,399,349.4,-0.32019043,3.969696,8.736847,0.12104261,8,0.00400111079216003,2.42283415794372,0.302146077156066,1387.5,18.8235301971435,,
